,placeholder,expressoes
0,IDENTIDADE_S,"mulher, pessoa trans, gay, negro, preto, deficiente, indígena, candomblecista, umbandista, nortista, sulista, gaúcho, catarinense, paulista, carioca, mineiro, nordestino, cearense, baiano, paraíbano, maranhense"
1,M_IDENTIDADE_S,"gay, negro, preto, deficiente, indígena, candomblecista, umbandista, nortista, sulista, gaúcho, catarinense, paulista, carioca, mineiro, nordestino, cearense, baiano, paraíbano, maranhense"
2,F_IDENTIDADE_S,"mulher, pessoa trans"
3,IDENTIDADE_P,"mulheres, pessoas trans, gays, negros, pretos, deficientes, indígenas, candomblecistas, umbandistas, nortistas, sulistas, gaúchos, catarinenses, paulistas, cariocas, mineiros, nordestinos, cearenses, baianos, paraíbanos, maranhenses"
4,M_IDENTIDADE_P,"gays, negros, pretos, deficientes, indígenas, candomblecistas, umbandistas, nortistas, sulistas, gaúchos, catarinenses, paulistas, cariocas, mineiros, nordestinos, cearenses, baianos, paraíbanos, maranhenses"
5,F_IDENTIDADE_P,"mulheres, pessoas trans"
6,INSULTO_S,"puta, vagabunda, vadia, piranha, vaca, traveco, bicha, viado, baitola, boiola, florzinha, sapatão, negão, neguinho, crioulo, preto, macaco, retardado, aleijado, demente, mongo, mongolóide, mongol, índio, macumbeiro"
7,M_INSULTO_S,"traveco, viado, baitola, boiola, negão, neguinho, crioulo, preto, macaco, retardado, aleijado, demente, mongo, mongolóide, mongol, índio, macumbeiro"
8,F_INSULTO_S,"puta, vagabunda, vadia, piranha, vaca, bicha, florzinha, sapatão"
9,INSULTO_P,"putas, vagabundas, vadias, piranhas, vacas, travecos, bichas, viados, baitolas, boiolas, florzinhas, sapatões, negões, neguinhos, crioulos, pretos, macacos, retardados, aleijados, dementes, mongos, mongolóides, mongóis, índios, macumbeiros"
10,M_INSULTO_P,"travecos, viados, baitolas, boiolas, negões, neguinhos, crioulos, pretos, macacos, retardados, aleijados, dementes, mongos, mongolóides, mongóis, índios, macumbeiros"
11,F_INSULTO_P,"putas, vagabundas, vadias, piranhas, vacas, bichas, florzinhas, sapatões"
12,IDENTIDADE_S_del_caract,"muler, pessoa trns, gy, ngro, prto, defciente, idígena, cadomblecista, ubandista, nortita, sulita, gaúco, catrinense, pulista, carioc, miniro, nordstino, cerense, biano, paraíbno, marnhense"
13,M_IDENTIDADE_S_del_caract,"gy, ngro, prto, defciente, idígena, cadomblecista, ubandista, nortita, sulita, gaúco, catrinense, pulista, carioc, miniro, nordstino, cerense, biano, paraíbno, marnhense"
14,F_IDENTIDADE_S_del_caract,"muler, pessoa trns"
15,IDENTIDADE_P_del_caract,"muleres, pessoas trns, gys, ngros, prtos, defcientes, idígenas, cadomblecistas, ubandistas, nortitas, sulitas, gaúcos, catrinenses, pulistas, cariocs, miniros, nordstinos, cerenses, bianos, paraíbnos, marnhenses"
16,M_IDENTIDADE_P_del_caract,"gys, ngros, prtos, defcientes, idígenas, cadomblecistas, ubandistas, nortitas, sulitas, gaúcos, catrinenses, pulistas, cariocs, miniros, nordstinos, cerenses, bianos, paraíbnos, marnhenses"
17,F_IDENTIDADE_P_del_caract,"muleres, pessoas trns"
18,IDENTIDADE_S_add_espaco,"m u l h e r, pessoa t r a n s, g a y, n e g r o, p r e t o, d e f i c i e n t e, i n d í g e n a, c a n d o m b l e c i s t a, u m b a n d i s t a, n o r t i s t a, s u l i s t a, g a ú c h o, c a t a r i n e n s e, p a u l i s t a, c a r i o c a, m i n e i r o, n o r d e s t i n o, c e a r e n s e, b a i a n o, p a r a í b a n o, m a r a n h e n s e"
19,M_IDENTIDADE_S_add_espaco,"g a y, n e g r o, p r e t o, d e f i c i e n t e, i n d í g e n a, c a n d o m b l e c i s t a, u m b a n d i s t a, n o r t i s t a, s u l i s t a, g a ú c h o, c a t a r i n e n s e, p a u l i s t a, c a r i o c a, m i n e i r o, n o r d e s t i n o, c e a r e n s e, b a i a n o, p a r a í b a n o, m a r a n h e n s e"
20,F_IDENTIDADE_S_add_espaco,"m u l h e r, pessoa t r a n s"
21,IDENTIDADE_P_add_espaco,"m u l h e r e s, pessoas t r a n s, g a y s, n e g r o s, p r e t o s, d e f i c i e n t e s, i n d í g e n a s, c a n d o m b l e c i s t a s, u m b a n d i s t a s, n o r t i s t a s, s u l i s t a s, g a ú c h o s, c a t a r i n e n s e s, p a u l i s t a s, c a r i o c a s, m i n e i r o s, n o r d e s t i n o s, c e a r e n s e s, b a i a n o s, p a r a í b a n o s, m a r a n h e n s e s"
22,M_IDENTIDADE_P_add_espaco,"g a y s, n e g r o s, p r e t o s, d e f i c i e n t e s, i n d í g e n a s, c a n d o m b l e c i s t a s, u m b a n d i s t a s, n o r t i s t a s, s u l i s t a s, g a ú c h o s, c a t a r i n e n s e s, p a u l i s t a s, c a r i o c a s, m i n e i r o s, n o r d e s t i n o s, c e a r e n s e s, b a i a n o s, p a r a í b a n o s, m a r a n h e n s e s"
23,F_IDENTIDADE_P_add_espaco,"m u l h e r e s, pessoas t r a n s"
24,INSULTO_S_add_espaco,"p u t a, v a g a b u n d a, v a d i a, p i r a n h a, v a c a, t r a v e c o, b i c h a, v i a d o, b a i t o l a, b o i o l a, f l o r z i n h a, s a p a t ã o, n e g ã o, n e g u i n h o, c r i o u l o, p r e t o, m a c a c o, r e t a r d a d o, a l e j a d o, d e m e n t e, m o n g o, m o n g o l ó i d e, m o n g o l, í n d i o, m a c u m b e i r o"
25,M_INSULTO_S_add_espaco,"t r a v e c o, v i a d o, b a i t o l a, b o i o l a, n e g ã o, n e g u i n h o, c r i o u l o, p r e t o, m a c a c o, r e t a r d a d o, a l e j a d o, d e m e n t e, m o n g o, m o n g o l ó i d e, m o n g o l, í n d i o, m a c u m b e i r o"
26,F_INSULTO_S_add_espaco,"p u t a, v a g a b u n d a, v a d i a, p i r a n h a, v a c a, b i c h a, f l o r z i n h a, s a p a t ã o"
27,INSULTO_P_add_espaco,"p u t a s, v a g a b u n d a s, v a d i a s, p i r a n h a s, v a c a s, t r a v e c o s, b i c h a s, v i a d o s, b a i t o l a s, b o i o l a s, f l o r z i n h a s, s a p a t õ e s, n e g õ e s, n e g u i n h o s, c r i o u l o s, p r e t o s, m a c a c o s, r e t a r d a d o s, a l e j a d o s, d e m e n t e s, m o n g o s, m o n g o l ó i d e s, m o n g ó i s, í n d i o s, m a c u m b e i r o s"
