,placeholder,expressoes
0,depre_neg_op_o,"Eu odeio {IDENTIDADE_P}., Eu realmente não suporto {IDENTIDADE_P} como você., Eu desprezo {IDENTIDADE_P}., Eu detesto {IDENTIDADE_P}., Eu abomino {IDENTIDADE_P}., Eu tenho muito ódio de vocês {IDENTIDADE_P}., Tão cansado de estar perto de {IDENTIDADE_P} como você., Eu não sinto nada além de desdém por {IDENTIDADE_P}., {IDENTIDADE_P} me dão nojo., Ver {IDENTIDADE_P} aqui me dá muita raiva., {IDENTIDADE_P} que pensam que são iguais a mim me enchem de raiva., {IDENTIDADE_P} como você me deixam furioso., É difícil de colocar em palavras o absoluto desprezo que eu sinto por {IDENTIDADE_P}."
1,m_depre_neg_op_o,"Sinto nojo de todos os {M_IDENTIDADE_P} por aqui., Eu sinto muito desprezo por esses {M_IDENTIDADE_P}., Esses {M_IDENTIDADE_P} me enojam demais., {M_IDENTIDADE_P} são os piores., Nada é pior do que um {M_IDENTIDADE_S}., Você e todos os outros {M_IDENTIDADE_P} nesse país me fazem ferver de raiva., Eu sinto nojo de todos os {M_IDENTIDADE_P}."
2,f_depre_neg_op_o,"Sinto nojo de todas as {F_IDENTIDADE_P} por aqui., Eu sinto muito desprezo por essas {F_IDENTIDADE_P}., Essas {F_IDENTIDADE_P} me enojam demais., {F_IDENTIDADE_P} são as piores., Nada é pior do que uma {F_IDENTIDADE_S}., Você e todas as outras {F_IDENTIDADE_P} nesse país me fazem ferver de raiva., Eu sinto nojo de todas as {F_IDENTIDADE_P}."
3,depre_neg_atrib_o,"{IDENTIDADE_P} são completamente desprezíveis., {IDENTIDADE_P} são simplesmente repugnantes., {IDENTIDADE_P} como você são repugnantes., {IDENTIDADE_P} com acesso ao poder são uma ameaça à civilização., {IDENTIDADE_P} estarem no comando é um perigo para o nosso país., {IDENTIDADE_P} são, sem dúvidas, as pessoas mais estúpidas neste planeta., {IDENTIDADE_P} são as pessoas mais idiotas."
4,m_depre_neg_atrib_o,"{M_IDENTIDADE_P} são nojentos., Todos os {M_IDENTIDADE_P} são repulsivos., {M_IDENTIDADE_P} não conseguem deixar de ser totalmente asquerosos., Todos vocês {M_IDENTIDADE_P} são desonestos., Todos os {M_IDENTIDADE_P} como eles são maus., {M_IDENTIDADE_P} como você são patéticos., É da natureza dos {M_IDENTIDADE_P} ser selvagem., Só os {M_IDENTIDADE_P} são tão violentos e cruéis., Só os {M_IDENTIDADE_P} conseguem ser tão ignorantes., Ninguém é tão imundo quanto esses {M_IDENTIDADE_P}., Típico de um {M_IDENTIDADE_S} ser tão estúpido., O idiota é sempre o {M_IDENTIDADE_S}., {M_IDENTIDADE_P}, sem exceção, realmente são acéfalos."
5,f_depre_neg_atrib_o,"{F_IDENTIDADE_P} são nojentas., Todas as {F_IDENTIDADE_P} são repulsivas., {F_IDENTIDADE_P} não conseguem deixar de ser totalmente asquerosas., Todas vocês {F_IDENTIDADE_P} são desonestas., Todas as {F_IDENTIDADE_P} como elas são más., {F_IDENTIDADE_P} como você são patéticas., É da natureza das {F_IDENTIDADE_P} ser selvagem., Só as {F_IDENTIDADE_P} são tão violentas e cruéis., Só as {F_IDENTIDADE_P} conseguem ser tão ignorantes., Ninguém é tão imundo quanto essas {F_IDENTIDADE_P}., Típico de uma {F_IDENTIDADE_S} ser tão estúpida., A idiota é sempre A {F_IDENTIDADE_S}., {F_IDENTIDADE_P}, sem exceção, realmente são acéfalas."
6,depre_desum_o,"{IDENTIDADE_P} são a escória., {IDENTIDADE_P} são sujeira sem valor., {IDENTIDADE_P} como você são pura imundice., {IDENTIDADE_P} como você não são nada além de um lixo comum., {IDENTIDADE_P} não têm nada além da minha rejeição., {IDENTIDADE_P} são parasitas da nossa sociedade., {IDENTIDADE_P} são lixo humano., {IDENTIDADE_P} são seres inferiores., {IDENTIDADE_P} são uma praga., {IDENTIDADE_P} como você são piores que ratos., Vidas de {IDENTIDADE_P} não têm valor algum., Vidas de {IDENTIDADE_P} não valem absolutamente nada., Típico de vermes como vocês {IDENTIDADE_P}., {IDENTIDADE_P} são só um desperdício de espaço., {IDENTIDADE_P} são um vírus., {IDENTIDADE_P} são um câncer., {IDENTIDADE_P} são criaturas sub humanas., Enxames de {IDENTIDADE_P} estão infestando o nosso governo."
7,m_depre_desum_o,"Esses {M_IDENTIDADE_P} não são mais que baratas., Você e todos os outros {M_IDENTIDADE_P} são uma praga para a sociedade."
8,f_depre_desum_o,"Essas {F_IDENTIDADE_P} não são mais que baratas., Você e todas as outras {F_IDENTIDADE_P} são uma praga para a sociedade."
9,depre_impl_o,"{IDENTIDADE_P} deviam estar em um zoológico., {IDENTIDADE_P} doentes deviam se consultar com um veterinário, não com um médico., Meu cachorro é mais inteligente do que qualquer {IDENTIDADE_S} jamais pode ser., Eu me importo mais com a terra debaixo do meu sapato do que com {IDENTIDADE_P}., Nós deveríamos testar novos remédios em {IDENTIDADE_P} antes de testá-los em animais., Fico perplexo porque as pessoas se importam minimamente com as vidas de {IDENTIDADE_P}., Colocar {IDENTIDADE_P} no poder é um dos maiores erros que podem ser cometidos., Permitir mais {IDENTIDADE_P} no governo vai arruinar nosso país., Nunca confie em uma única palavra dita por {IDENTIDADE_P}., Não tem nada no mundo que eu goste menos do que de {IDENTIDADE_P}., {IDENTIDADE_P} não têm lugar em um país civilizado como este."
10,m_depre_impl_o,"Aquele macaco é mais inteligente do que todos vocês {M_IDENTIDADE_P} juntos., {M_IDENTIDADE_P} deveriam ser jogados em um lixão., Eu nunca comeria algo que foi tocado por um {M_IDENTIDADE_S}., A vida de qualquer inseto é mais valiosa do que a de um {M_IDENTIDADE_S}., Eu não vejo nenhuma diferença entre um rato morto e um {M_IDENTIDADE_S} morto., Todos os {M_IDENTIDADE_P} deveriam estar trancados em jaulas., Eu prefiro morrer do que namorar um {M_IDENTIDADE_S}., Eu prefiro ter câncer do que chegar perto de um {M_IDENTIDADE_S}., Se eu acordasse como um {M_IDENTIDADE_S}, eu me mataria."
11,f_depre_impl_o,"Aquele macaco é mais inteligente do que todas vocês {F_IDENTIDADE_P} juntas., {F_IDENTIDADE_P} deveriam ser jogadas em um lixão., Eu nunca comeria algo que foi tocado por uma {F_IDENTIDADE_S}., A vida de qualquer inseto é mais valiosa do que a de uma {F_IDENTIDADE_S}., Eu não vejo nenhuma diferença entre um rato morto e uma {F_IDENTIDADE_S} morta., Todas as {F_IDENTIDADE_P} deveriam estar trancadas em jaulas., Eu prefiro morrer do que namorar uma {F_IDENTIDADE_S}., Eu prefiro ter câncer do que chegar perto de uma {F_IDENTIDADE_S}., Se eu acordasse como uma {F_IDENTIDADE_S}, eu me mataria."
12,ameaca_dir_o,"Eu vou cortar as gargantas de {IDENTIDADE_P}, Eu vou quebrar esse seu pescoço de {IDENTIDADE_S}., Nós vamos continuar atacando {IDENTIDADE_P} até que vocês sumam., Eu vou assassinar qualquer {IDENTIDADE_S} como você."
13,m_ameaca_dir_o,"Eu quero matar todos os {M_IDENTIDADE_P}., Eu quero acabar com a vida de todos os {M_IDENTIDADE_P}., Eu realmente vou matar aquele {M_IDENTIDADE_S}., Eu vou atirar no próximo {M_IDENTIDADE_S} que eu vir., Eu vou fazer esses {M_IDENTIDADE_P} sofrerem., Eu vou dar uma facada em um {M_IDENTIDADE_S} amanhã., Eu vou ter que estuprar um {M_IDENTIDADE_S} hoje., Eu vou machucar você e qualquer outro {M_IDENTIDADE_P} como você., Nós vamos torturar sem piedade esses {M_IDENTIDADE_P}., Nós vamos pôr um fim em todos os {M_IDENTIDADE_P}., Vamos nos livrar dos {M_IDENTIDADE_P} de uma vez por todas., Vamos simplesmente erradicar esses {M_IDENTIDADE_P}., Execução é a única solução para os {M_IDENTIDADE_P}., Morte a todos os {M_IDENTIDADE_P}., Aquele {M_IDENTIDADE_S} vai ter uma morte horrível nas minhas mãos."
14,f_ameaca_dir_o,"Eu quero matar todas as {F_IDENTIDADE_P}., Eu quero acabar com a vida de todas as {F_IDENTIDADE_P}., Eu realmente vou matar aquela {F_IDENTIDADE_S}., Vou atirar na próxima {F_IDENTIDADE_S} que eu vir., Eu vou fazer essas {F_IDENTIDADE_P} sofrerem., Vou dar uma facada em uma {F_IDENTIDADE_S} amanhã., Vou ter que estuprar uma {F_IDENTIDADE_S} hoje., Eu vou machucar você e qualquer outra {F_IDENTIDADE_P} como você., Nós vamos torturar sem piedade essas {F_IDENTIDADE_P}., Vamos pôr um fim em todas as {F_IDENTIDADE_P}., Vamos nos livrar das {F_IDENTIDADE_P} de uma vez por todas., Vamos simplesmente erradicar essas {F_IDENTIDADE_P}., Execução é a única solução para as {F_IDENTIDADE_P}., Morte a todas as {F_IDENTIDADE_P}., Aquela {F_IDENTIDADE_S} vai ter uma morte horrível nas minhas mãos."
15,ameaca_norm_o,"Eu adoraria ver {IDENTIDADE_P} sofrerem., {IDENTIDADE_P} como você merecem morrer., Estuprar {IDENTIDADE_P} como você não devia ser ilegal., Assassinar {IDENTIDADE_P} como você devia ser descriminalizado., Como eu queria que {IDENTIDADE_P} como você tivessem suas gargantas cortadas., O mundo seria um lugar melhor sem {IDENTIDADE_P} como você."
16,m_ameaca_norm_o,"Todos os {M_IDENTIDADE_P} deviam ser mortos., Eu queria que todos os {M_IDENTIDADE_P} levassem um tiro na rua., Nós devíamos nos livrar de todos os {M_IDENTIDADE_P} de uma vez por todas., Nós devíamos enforcar todos esses {M_IDENTIDADE_P}., Nós estaríamos melhores se esses {M_IDENTIDADE_P} fossem erradicados., Seria melhor só afogar esses tais {M_IDENTIDADE_P}., Esses tais {M_IDENTIDADE_P} deviam ser executados., Como eu queria que alguém estrangulasse esses {M_IDENTIDADE_P}., Em um mundo justo, {M_IDENTIDADE_P} como você estariam todos mortos., Só se pode ter esperança de que alguém vai dar um fim nesses {M_IDENTIDADE_P}., É para o bem de todo mundo o massacre desses {M_IDENTIDADE_P}., Alguém devia simplesmente dar uma facada nesses {M_IDENTIDADE_P}., Alguém devia quebrar os pescoços de todos esses {M_IDENTIDADE_P}., Esses {M_IDENTIDADE_P} deviam ser queimados na fogueira."
