,idCategoria,categoria,idTemplate,template,frase,grupoAlvo,discursoDeOdio,predicao
0,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio mulheres.,mulheres,1,0
1,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio pessoas trans.,pessoas trans,1,0
2,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio gays.,gays,1,1
3,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio negros.,negros,1,0
4,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio pretos.,negros,1,0
5,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio deficientes.,pessoas com deficiências,1,0
6,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio indígenas.,indígenas,1,0
7,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio candomblecistas.,religiões de matriz africana,1,1
8,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio umbandistas.,religiões de matriz africana,1,0
9,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio nortistas.,nortistas,1,0
10,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio sulistas.,sulistas,1,1
11,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio gaúchos.,sulistas,1,0
12,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio catarinenses.,sulistas,1,0
13,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio paulistas.,paulistas,1,0
14,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio cariocas.,cariocas,1,0
15,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio mineiros.,mineiros,1,0
16,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio nordestinos.,nordestinos,1,0
17,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio cearenses.,nordestinos,1,0
18,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio baianos.,nordestinos,1,0
19,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio paraíbanos.,nordestinos,1,0
20,1,depre_neg_op_o,1,Eu odeio {IDENTIDADE_P}.,Eu odeio maranhenses.,nordestinos,1,0
21,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto mulheres como você.,mulheres,1,0
22,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto pessoas trans como você.,pessoas trans,1,0
23,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto gays como você.,gays,1,1
24,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto negros como você.,negros,1,0
25,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto pretos como você.,negros,1,0
26,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto deficientes como você.,pessoas com deficiências,1,0
27,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto indígenas como você.,indígenas,1,0
28,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto candomblecistas como você.,religiões de matriz africana,1,1
29,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto umbandistas como você.,religiões de matriz africana,1,0
30,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto nortistas como você.,nortistas,1,0
31,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto sulistas como você.,sulistas,1,1
32,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto gaúchos como você.,sulistas,1,0
33,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto catarinenses como você.,sulistas,1,0
34,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto paulistas como você.,paulistas,1,0
35,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto cariocas como você.,cariocas,1,0
36,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto mineiros como você.,mineiros,1,0
37,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto nordestinos como você.,nordestinos,1,0
38,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto cearenses como você.,nordestinos,1,0
39,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto baianos como você.,nordestinos,1,0
40,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto paraíbanos como você.,nordestinos,1,0
41,1,depre_neg_op_o,2,Eu realmente não suporto {IDENTIDADE_P} como você.,Eu realmente não suporto maranhenses como você.,nordestinos,1,0
42,1,depre_neg_op_o,3,Eu desprezo {IDENTIDADE_P}.,Eu desprezo mulheres.,mulheres,1,0
43,1,depre_neg_op_o,3,Eu desprezo {IDENTIDADE_P}.,Eu desprezo pessoas trans.,pessoas trans,1,0
44,1,depre_neg_op_o,3,Eu desprezo {IDENTIDADE_P}.,Eu desprezo gays.,gays,1,0
45,1,depre_neg_op_o,3,Eu desprezo {IDENTIDADE_P}.,Eu desprezo negros.,negros,1,0
46,1,depre_neg_op_o,3,Eu desprezo {IDENTIDADE_P}.,Eu desprezo pretos.,negros,1,0
47,1,depre_neg_op_o,3,Eu desprezo {IDENTIDADE_P}.,Eu desprezo deficientes.,pessoas com deficiências,1,0
48,1,depre_neg_op_o,3,Eu desprezo {IDENTIDADE_P}.,Eu desprezo indígenas.,indígenas,1,0
49,1,depre_neg_op_o,3,Eu desprezo {IDENTIDADE_P}.,Eu desprezo candomblecistas.,religiões de matriz africana,1,1
50,1,depre_neg_op_o,3,Eu desprezo {IDENTIDADE_P}.,Eu desprezo umbandistas.,religiões de matriz africana,1,0
51,1,depre_neg_op_o,3,Eu desprezo {IDENTIDADE_P}.,Eu desprezo nortistas.,nortistas,1,0
52,1,depre_neg_op_o,3,Eu desprezo {IDENTIDADE_P}.,Eu desprezo sulistas.,sulistas,1,1
53,1,depre_neg_op_o,3,Eu desprezo {IDENTIDADE_P}.,Eu desprezo gaúchos.,sulistas,1,0
54,1,depre_neg_op_o,3,Eu desprezo {IDENTIDADE_P}.,Eu desprezo catarinenses.,sulistas,1,0
